ID,Category,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,CorrectAns1,CorrectAns2,CorrectAns3
1,PEOPLE & ORGANIZATION,What is Continental’s vision?,The Future Starts Earlier With Continental,In Continental We Trust,Your Mobility. Your Freedom. Our Signature,Security. Mobility. Infinity,NIL,NIL,NIL,NIL,NIL,NIL,Your Mobility. Your Freedom. Our Signature,NIL,NIL
2,PEOPLE & ORGANIZATION,Which of the following is not one of the 4 Continental basic values?,A Passion To Win,Peace On Earth,Freedom To Act, For One Another,NIL,NIL,NIL,NIL,NIL,NIL,Peace On Earth,NIL,NIL
3,PEOPLE & ORGANIZATION,There are 4 Continental basic guidelines. Which of the following does not refer to them?,Trust,A Passion To Win,Freedom To Act,Creativity,NIL,NIL,NIL,NIL,NIL,NIL,Creativity,NIL,NIL
4,PEOPLE & ORGANIZATION,Which of the following is not one of the 4 Continental basic guidelines?,For One Another,Freedom To Assemble,Trust,Passion To Win,NIL,NIL,NIL,NIL,NIL,NIL,Freedom To Assemble,NIL,NIL
5,PEOPLE & ORGANIZATION,There are 4 Continental basic guidelines. Which of the following does not refer to them?,Freedom To Act, Trust, Passion To Innovate,  For One Another,NIL,NIL,NIL,NIL,NIL,NIL, Passion To Innovate,NIL,NIL
6,PEOPLE & ORGANIZATION,What does “poka yoke” mean?,Japanese Word For Hello, Making Jokes To Ease Working Atmosphere, Bad Joke, Mistake-Proofing,NIL,NIL,NIL,NIL,NIL,NIL, Mistake-Proofing,NIL,NIL
7,PEOPLE & ORGANIZATION,What is the Japanese term for procedures that prevent mistakes from becoming defects?,Poka Yoke, Kaizen, Jidoka, Kanban,NIL,NIL,NIL,NIL,NIL,NIL,Poka Yoke,NIL,NIL
8,PEOPLE & ORGANIZATION,There is a japanese term that means “avoid mistakes”. Which one is it?,Sushi, Jidoka, Poka Yoke, Kaizen,NIL,NIL,NIL,NIL,NIL,NIL, Poka Yoke,NIL,NIL
9,PEOPLE & ORGANIZATION,Which of the following is a written description of the work to be done?,Job Qualification, Job Description, Job Analysis, Job Posting,NIL,NIL,NIL,NIL,NIL,NIL, Job Description,NIL,NIL
10,PEOPLE & ORGANIZATION,Which of the following external influences is most likely to affect HRM in a manufacturing firm?,Financial Constraints, Introduction Of New Technology, Government Directives On Service Industries, Change In Environmental Legislation,NIL,NIL,NIL,NIL,NIL,NIL, Change In Environmental Legislation,NIL,NIL
